# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfReplace/100p-media-24    	   50984	     26441 ns/op	1344347.07 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   48535	     27284 ns/op	1302802.91 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   47762	     25422 ns/op	1398226.21 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   43088	     25196 ns/op	1410799.35 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   43765	     26125 ns/op	1360636.77 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   41012	     25288 ns/op	1405635.94 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   45642	     26821 ns/op	1325333.57 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   44606	     27188 ns/op	1307410.00 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   43995	     24877 ns/op	1428888.35 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfReplace/100p-media-24    	   45464	     25549 ns/op	1391277.40 MB/s	  35546299 pkg-bytes	   69624 B/op	     395 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1392	    905526 ns/op	  15.97 MB/s	     14464 pkg-bytes	  100593 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1418	    969075 ns/op	  14.93 MB/s	     14464 pkg-bytes	   99629 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1420	    907869 ns/op	  15.93 MB/s	     14464 pkg-bytes	   98932 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1273	    916784 ns/op	  15.78 MB/s	     14464 pkg-bytes	  100696 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1400	    910247 ns/op	  15.89 MB/s	     14464 pkg-bytes	  100419 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1446	    858863 ns/op	  16.84 MB/s	     14464 pkg-bytes	  100373 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1172	    920454 ns/op	  15.71 MB/s	     14464 pkg-bytes	   99053 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1612	    917715 ns/op	  15.76 MB/s	     14464 pkg-bytes	   99523 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1497	    830631 ns/op	  17.41 MB/s	     14464 pkg-bytes	  100352 B/op	     853 allocs/op
BenchmarkPerfSaveMem/10p-text-24      	    1394	    924773 ns/op	  15.64 MB/s	     14464 pkg-bytes	   99722 B/op	     853 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     332	   3393026 ns/op	  18.08 MB/s	     61356 pkg-bytes	  400697 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     370	   3715877 ns/op	  16.51 MB/s	     61356 pkg-bytes	  396729 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     382	   3271582 ns/op	  18.75 MB/s	     61356 pkg-bytes	  396408 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     386	   3345885 ns/op	  18.34 MB/s	     61356 pkg-bytes	  390773 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     385	   3141034 ns/op	  19.53 MB/s	     61356 pkg-bytes	  393826 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     391	   3258232 ns/op	  18.83 MB/s	     61356 pkg-bytes	  399049 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     357	   3167167 ns/op	  19.37 MB/s	     61356 pkg-bytes	  396957 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     340	   3267755 ns/op	  18.78 MB/s	     61356 pkg-bytes	  390960 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     378	   3230828 ns/op	  18.99 MB/s	     61356 pkg-bytes	  393508 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/50p-image-24     	     384	   3248612 ns/op	  18.89 MB/s	     61356 pkg-bytes	  396843 B/op	    3090 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      27	  39372311 ns/op	 902.82 MB/s	  35546299 pkg-bytes	88540288 B/op	    6907 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      30	  38521330 ns/op	 922.77 MB/s	  35546299 pkg-bytes	88585961 B/op	    6910 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      27	  40284437 ns/op	 882.38 MB/s	  35546299 pkg-bytes	88621658 B/op	    6908 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      30	  40210453 ns/op	 884.01 MB/s	  35546299 pkg-bytes	88535190 B/op	    6907 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      32	  41159262 ns/op	 863.63 MB/s	  35546299 pkg-bytes	88567735 B/op	    6908 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      31	  40769200 ns/op	 871.89 MB/s	  35546299 pkg-bytes	88535927 B/op	    6907 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      30	  40276630 ns/op	 882.55 MB/s	  35546299 pkg-bytes	88538171 B/op	    6907 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      28	  42287529 ns/op	 840.59 MB/s	  35546299 pkg-bytes	88578069 B/op	    6908 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      30	  40024400 ns/op	 888.12 MB/s	  35546299 pkg-bytes	88532186 B/op	    6906 allocs/op
BenchmarkPerfSaveMem/100p-media-24    	      31	  41228003 ns/op	 862.19 MB/s	  35546299 pkg-bytes	88572391 B/op	    6908 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     634	   2006637 ns/op	   7.21 MB/s	     14464 pkg-bytes	  123021 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     742	   2056466 ns/op	   7.03 MB/s	     14464 pkg-bytes	  120923 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     718	   2124939 ns/op	   6.81 MB/s	     14464 pkg-bytes	  122597 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     720	   1979949 ns/op	   7.31 MB/s	     14464 pkg-bytes	  124082 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     734	   1829270 ns/op	   7.91 MB/s	     14464 pkg-bytes	  123871 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     630	   1997210 ns/op	   7.24 MB/s	     14464 pkg-bytes	  122973 B/op	    1047 allocs/op
BenchmarkPerfSaveDisk/10p-text-24     	     621	   1984080 ns/op	   7.29 MB/s	     14464 pkg-bytes	  121292 B/op	    1047 allocs/op
